Freguesia,Year,Month,mean
Penha de França,2020,12,69.28060943608153
Santo António,2020,12,107.36429370388393
Arroios,2020,12,94.66362231350688
Santa Maria Maior,2020,12,85.01696987781081
Campo de Ourique,2020,12,81.16793170117475
Alcântara,2020,12,54.28393447686876
Ajuda,2020,12,68.20765874933086
Belém,2020,12,50.624607106523804
São Domingos de Benfica,2020,12,96.00509995403378
Campolide,2020,12,83.96641488837923
Carnide,2020,12,91.19497700230096
São Vicente,2020,12,76.17525987988877
Estrela,2020,12,70.58622314058033
Lumiar,2021,1,102.95401327890704
Avenidas Novas,2021,1,131.9480567903692
Areeiro,2021,1,128.68535729921783
Beato,2021,1,64.93278691424439
Benfica,2021,1,62.599774333748606
Misericórdia,2021,1,78.24556733135985
Parque das Nações,2021,1,87.19988693125906
Olivais,2021,1,110.58449543209971
Marvila,2021,1,84.3096088398327
Santa Clara,2021,1,78.97950794333752
Alvalade,2021,1,104.7695363969624
Penha de França,2021,1,85.78545684026486
Santo António,2021,1,133.47502412808606
Arroios,2021,1,113.09602998482164
Santa Maria Maior,2021,1,88.47286847846222
Campo de Ourique,2021,1,102.97905696770306
Alcântara,2021,1,58.7721814673627
Ajuda,2021,1,83.9499834752143
Belém,2021,1,57.94919919735941
São Domingos de Benfica,2021,1,106.97335353300502
Campolide,2021,1,105.32940240080569
Carnide,2021,1,102.46990383552419
São Vicente,2021,1,81.3797517773326
Estrela,2021,1,84.90475386585508
Lumiar,2021,2,80.8733390314017
Avenidas Novas,2021,2,114.70280786408476
Areeiro,2021,2,112.27142243605395
Beato,2021,2,54.72557604859208
Benfica,2021,2,53.90719813812436
Misericórdia,2021,2,66.96673336784212
Parque das Nações,2021,2,64.7472968268944
Olivais,2021,2,90.3100691405672
Marvila,2021,2,74.63595226075424
Santa Clara,2021,2,58.60550249352748
Alvalade,2021,2,91.94510255730042
Penha de França,2021,2,80.1932829702755
Santo António,2021,2,108.66000863313151
Arroios,2021,2,96.43390437399694
Santa Maria Maior,2021,2,78.02584657004682
Campo de Ourique,2021,2,82.5021117071982
Alcântara,2021,2,50.79304054227087
Ajuda,2021,2,69.18075444484573
Belém,2021,2,49.75895194830988
São Domingos de Benfica,2021,2,93.04622048613845
Campolide,2021,2,90.90765278476303
Carnide,2021,2,84.22268032913004
São Vicente,2021,2,81.00145257741066
Estrela,2021,2,69.18296001992908
Lumiar,2021,3,103.06219522528426
Avenidas Novas,2021,3,133.26539840648059
Areeiro,2021,3,142.01889634059032
Beato,2021,3,69.70159537662732
Benfica,2021,3,65.73668591588189
Misericórdia,2021,3,78.87076767161713
Parque das Nações,2021,3,90.04923513333527
Olivais,2021,3,109.2864901785407
Marvila,2021,3,91.77477816564901
Santa Clara,2021,3,81.06283799295711
Alvalade,2021,3,109.5182228313076
Penha de França,2021,3,93.94278733310261
Santo António,2021,3,133.64270102101906
Arroios,2021,3,120.250543409244
Santa Maria Maior,2021,3,94.02271563997955
Campo de Ourique,2021,3,104.33242892650203
Alcântara,2021,3,60.37922681389677
Ajuda,2021,3,84.99687752420819
Belém,2021,3,62.3313989617014
São Domingos de Benfica,2021,3,109.01216714598252
Campolide,2021,3,109.42437110741554
Carnide,2021,3,105.66399885060419
São Vicente,2021,3,83.3648561534597
Estrela,2021,3,89.29833002478736
Lumiar,2021,4,97.06202022271134
Avenidas Novas,2021,4,114.92224083122416
Areeiro,2021,4,120.42665295234096
Beato,2021,4,64.43056125110348
Benfica,2021,4,62.18414383626048
Misericórdia,2021,4,69.4289223953286
Parque das Nações,2021,4,76.27821029735817
Olivais,2021,4,104.38863887273294
Marvila,2021,4,86.59348412010957
Santa Clara,2021,4,76.99377238993742
Alvalade,2021,4,99.57630920971896
Penha de França,2021,4,85.72436465359547
Santo António,2021,4,111.92192731824574
Arroios,2021,4,104.17326479889623
Santa Maria Maior,2021,4,82.7348108387431
Campo de Ourique,2021,4,94.15868037472188
Alcântara,2021,4,60.2873098363265
Ajuda,2021,4,81.92501969393227
Belém,2021,4,60.26935909854543
São Domingos de Benfica,2021,4,90.20360007542436
Campolide,2021,4,99.50630836459656
Carnide,2021,4,96.20869253129693
São Vicente,2021,4,75.2980227740843
Estrela,2021,4,80.84182454899377
Lumiar,2021,5,96.9552728221008
Avenidas Novas,2021,5,111.70477610569046
Areeiro,2021,5,125.82519662710335
Beato,2021,5,64.15369791220357
Benfica,2021,5,57.72140328324059
Misericórdia,2021,5,67.54733972743949
Parque das Nações,2021,5,74.82577426531091
Olivais,2021,5,101.61132566513626
Marvila,2021,5,83.57019057156293
Santa Clara,2021,5,76.13794573584755
Alvalade,2021,5,97.5697351489159
Penha de França,2021,5,81.81929041027011
Santo António,2021,5,107.21097624443513
Arroios,2021,5,104.89082133448397
Santa Maria Maior,2021,5,83.38989695588374
Campo de Ourique,2021,5,90.01228618432228
Alcântara,2021,5,55.26629819790791
Ajuda,2021,5,69.93963494942676
Belém,2021,5,54.4995712607433
São Domingos de Benfica,2021,5,88.66023806617375
Campolide,2021,5,95.59704797914033
Carnide,2021,5,95.0186643829753
São Vicente,2021,5,77.21038124280584
Estrela,2021,5,76.2536717337881
Lumiar,2021,6,93.92924887081303
Avenidas Novas,2021,6,109.18729891585718
Areeiro,2021,6,115.84478500072774
Beato,2021,6,62.25949135180341
Benfica,2021,6,55.23391638762681
Misericórdia,2021,6,67.59241435709441
Parque das Nações,2021,6,75.90739815759042
Olivais,2021,6,100.66111364281616
Marvila,2021,6,83.55165990733829
Santa Clara,2021,6,75.74060042125278
Alvalade,2021,6,95.68640064768942
Penha de França,2021,6,84.12269713759858
Santo António,2021,6,104.54657058950778
Arroios,2021,6,98.74357505147769
Santa Maria Maior,2021,6,85.03211080634874
Campo de Ourique,2021,6,90.33977859982438
Alcântara,2021,6,54.44348278090206
Ajuda,2021,6,70.18315022080843
Belém,2021,6,53.384742405804865
São Domingos de Benfica,2021,6,84.09399399735413
Campolide,2021,6,92.88041277479432
Carnide,2021,6,90.48222989348142
São Vicente,2021,6,75.57325305938724
Estrela,2021,6,75.86551043714796
Lumiar,2021,7,92.53467342773963
Avenidas Novas,2021,7,114.29309183232382
Areeiro,2021,7,123.3129208462055
Beato,2021,7,62.30955249963218
Benfica,2021,7,56.97518111526812
Misericórdia,2021,7,74.02440585958509
Parque das Nações,2021,7,77.56481500613872
Olivais,2021,7,102.09957894089649
Marvila,2021,7,82.99297364511716
Santa Clara,2021,7,74.71188790382732
Alvalade,2021,7,93.89608928536705
Penha de França,2021,7,85.19314726207267
Santo António,2021,7,117.04639285448832
Arroios,2021,7,106.00327208999514
Santa Maria Maior,2021,7,86.41259584272763
Campo de Ourique,2021,7,96.39190097149037
Alcântara,2021,7,54.86399035214945
Ajuda,2021,7,69.20141885062475
Belém,2021,7,53.34678102302441
São Domingos de Benfica,2021,7,89.87272693176975
Campolide,2021,7,101.69647229877646
Carnide,2021,7,93.5664765851368
São Vicente,2021,7,75.94065616506448
Estrela,2021,7,77.78564027833936
Lumiar,2021,8,97.02073574428341
Avenidas Novas,2021,8,118.29708141016607
Areeiro,2021,8,124.52587002387415
Beato,2021,8,64.52084702498074
Benfica,2021,8,60.41604896558552
Misericórdia,2021,8,73.66145804662082
Parque das Nações,2021,8,77.5360159238141
Olivais,2021,8,111.1903848206649
Marvila,2021,8,84.86252741083145
Santa Clara,2021,8,81.79013094610099
Alvalade,2021,8,101.12207394041799
Penha de França,2021,8,85.4275968869141
Santo António,2021,8,112.85115749427939
Arroios,2021,8,103.15399416901343
Santa Maria Maior,2021,8,80.3458813610856
Campo de Ourique,2021,8,99.9093014423226
Alcântara,2021,8,57.39577460765467
Ajuda,2021,8,74.88542557506216
Belém,2021,8,55.50550614266357
São Domingos de Benfica,2021,8,93.63644867646529
Campolide,2021,8,104.03969419856855
Carnide,2021,8,100.86225183339171
São Vicente,2021,8,78.78708168744647
Estrela,2021,8,82.62003452423642
Lumiar,2021,9,84.9063365870706
Avenidas Novas,2021,9,105.29351581656287
Areeiro,2021,9,101.07034257448638
Beato,2021,9,55.53229916932567
Benfica,2021,9,52.4696003797799
Misericórdia,2021,9,67.72170957048709
Parque das Nações,2021,9,72.86068631300267
Olivais,2021,9,92.30904319724085
Marvila,2021,9,73.18464916055576
Santa Clara,2021,9,68.19260028467822
Alvalade,2021,9,84.8846730414688
Penha de França,2021,9,70.8583351798075
Santo António,2021,9,105.89959019645427
Arroios,2021,9,90.25581080473671
Santa Maria Maior,2021,9,75.611913495044
Campo de Ourique,2021,9,86.8867317472727
Alcântara,2021,9,50.49564741816795
Ajuda,2021,9,62.997473021106856
Belém,2021,9,50.00624782783613
São Domingos de Benfica,2021,9,82.26987225815266
Campolide,2021,9,88.61902421155584
Carnide,2021,9,87.57973975897471
São Vicente,2021,9,67.96192682781823
Estrela,2021,9,66.6997200433186
Lumiar,2021,10,93.80546721824997
Avenidas Novas,2021,10,117.82529973199665
Areeiro,2021,10,118.57353176116945
Beato,2021,10,61.75880508574429
Benfica,2021,10,57.03995073795946
Misericórdia,2021,10,73.40364759970942
Parque das Nações,2021,10,78.97035278180145
Olivais,2021,10,105.11203203361883
Marvila,2021,10,82.87374817128435
Santa Clara,2021,10,73.72491910131984
Alvalade,2021,10,97.69701652278754
Penha de França,2021,10,81.45181250149253
Santo António,2021,10,122.88220844193276
Arroios,2021,10,102.09662989416789
Santa Maria Maior,2021,10,86.57770447794542
Campo de Ourique,2021,10,92.85027844256483
Alcântara,2021,10,54.0279211202226
Ajuda,2021,10,70.02723625268828
Belém,2021,10,51.13948514379367
São Domingos de Benfica,2021,10,91.1997801547776
Campolide,2021,10,97.35592751849246
Carnide,2021,10,94.65965963008672
São Vicente,2021,10,81.30334001702457
Estrela,2021,10,75.35296693645202
Lumiar,2021,11,102.85546957195555
Avenidas Novas,2021,11,133.13211737868818
Areeiro,2021,11,133.4094881791335
Beato,2021,11,68.25510194690024
Benfica,2021,11,60.92727060236643
Misericórdia,2021,11,82.41520390899579
Parque das Nações,2021,11,90.13780086181758
Olivais,2021,11,111.69905551211264
Marvila,2021,11,87.74837751562038
Santa Clara,2021,11,79.10158278691338
Alvalade,2021,11,104.4354431090552
Penha de França,2021,11,88.1880850098982
Santo António,2021,11,128.8043342452714
Arroios,2021,11,113.6018454570918
Santa Maria Maior,2021,11,92.11924932939723
Campo de Ourique,2021,11,101.86662798781042
Alcântara,2021,11,59.927146457307785
Ajuda,2021,11,77.9851022216055
Belém,2021,11,56.00250360614555
São Domingos de Benfica,2021,11,102.78859085721722
Campolide,2021,11,106.03523615858369
Carnide,2021,11,104.99979844267412
São Vicente,2021,11,80.84308434608168
Estrela,2021,11,86.87208579880846
Lumiar,2021,12,80.0141895869101
Avenidas Novas,2021,12,100.49864243948781
Areeiro,2021,12,97.44586899977465
Beato,2021,12,54.52658812769203
Benfica,2021,12,51.01161987856621
Misericórdia,2021,12,70.18981195597429
Parque das Nações,2021,12,73.10953956308013
Olivais,2021,12,87.8476277237106
Marvila,2021,12,69.56893632990773
Santa Clara,2021,12,65.21469243392464
Alvalade,2021,12,80.76129297520258
Penha de França,2021,12,69.34192008879468
Santo António,2021,12,108.07269770114159
Arroios,2021,12,90.90872598101005
Santa Maria Maior,2021,12,80.81154614802817
Campo de Ourique,2021,12,78.02054370402341
Alcântara,2021,12,45.98606795890902
Ajuda,2021,12,64.98141462303745
Belém,2021,12,44.64256152122079
São Domingos de Benfica,2021,12,82.150607972504
Campolide,2021,12,77.64250089457998
Carnide,2021,12,79.05426148561527
São Vicente,2021,12,68.55144219406407
Estrela,2021,12,65.79673767239707
Lumiar,2022,1,95.65061183931728
Avenidas Novas,2022,1,124.5585967977432
Areeiro,2022,1,130.2287915273813
Beato,2022,1,62.51389376457165
Benfica,2022,1,59.92045191532672
Misericórdia,2022,1,88.37980364752013
Parque das Nações,2022,1,82.87905279615035
Olivais,2022,1,103.16908133052242
Marvila,2022,1,83.17978312256085
Santa Clara,2022,1,75.30228385296496
Alvalade,2022,1,100.508052656937
Penha de França,2022,1,86.50703016283447
Santo António,2022,1,131.12048031042914
Arroios,2022,1,111.92792928296464
Santa Maria Maior,2022,1,99.23891073659301
Campo de Ourique,2022,1,99.3909187908438
Alcântara,2022,1,58.989581561169004
Ajuda,2022,1,88.03383448888775
Belém,2022,1,53.939690051559666
São Domingos de Benfica,2022,1,89.12772857267552
Campolide,2022,1,99.71957042198017
Carnide,2022,1,93.34617638592198
São Vicente,2022,1,82.17403635053493
Estrela,2022,1,81.79326104422981
Lumiar,2022,2,102.6478571482904
Avenidas Novas,2022,2,127.44629017989435
Areeiro,2022,2,131.2651105968769
Beato,2022,2,67.83543776960562
Benfica,2022,2,67.80234910449957
Misericórdia,2022,2,80.20243309898581
Parque das Nações,2022,2,93.29876456992018
Olivais,2022,2,103.22928116892348
Marvila,2022,2,87.01726963650167
Santa Clara,2022,2,81.36739791019745
Alvalade,2022,2,103.63293411717385
Penha de França,2022,2,84.88285324680707
