date,Year,Month,parish,price_m2,imputed_flag
2021-04-01,2021,4,Lumiar,11.3,0
2021-04-01,2021,4,Misericórdia,15.8,0
2021-04-01,2021,4,Parque das Nações,12.9,0
2021-04-01,2021,4,Penha de França,12.2,0
2021-04-01,2021,4,Santa Maria Maior,16.0,0
2021-04-01,2021,4,Santo António,16.0,0
2021-04-01,2021,4,São Domingos de Benfica,11.6,0
2021-04-01,2021,4,São Vicente,14.0,0
2021-05-01,2021,5,Alvalade,12.9,0
2021-05-01,2021,5,Areeiro,11.6,0
2021-05-01,2021,5,Arroios,13.8,0
2021-05-01,2021,5,Avenidas Novas,13.6,0
2021-05-01,2021,5,Belém,13.1,0
2021-05-01,2021,5,Benfica,11.3,0
2021-05-01,2021,5,Campo de Ourique,14.1,0
2021-05-01,2021,5,Campolide,13.0,0
2021-05-01,2021,5,Estrela,14.3,0
2021-05-01,2021,5,Lumiar,11.1,0
2021-05-01,2021,5,Misericórdia,15.9,0
2021-05-01,2021,5,Parque das Nações,13.0,0
2021-05-01,2021,5,Penha de França,12.3,0
2021-05-01,2021,5,Santa Maria Maior,16.0,0
2021-05-01,2021,5,Santo António,15.7,0
2021-05-01,2021,5,São Domingos de Benfica,11.5,0
2021-05-01,2021,5,São Vicente,13.8,0
2021-06-01,2021,6,Alvalade,12.7,0
2021-06-01,2021,6,Areeiro,11.7,0
2021-06-01,2021,6,Arroios,13.8,0
2021-06-01,2021,6,Avenidas Novas,13.5,0
2021-06-01,2021,6,Belém,13.1,0
2021-06-01,2021,6,Benfica,11.4,0
2021-06-01,2021,6,Campo de Ourique,14.1,0
2021-06-01,2021,6,Campolide,13.1,0
2021-06-01,2021,6,Estrela,14.0,0
2021-06-01,2021,6,Lumiar,11.0,0
2021-06-01,2021,6,Misericórdia,15.8,0
2021-06-01,2021,6,Parque das Nações,12.8,0
2021-06-01,2021,6,Penha de França,12.2,0
2021-06-01,2021,6,Santa Maria Maior,16.3,0
2021-06-01,2021,6,Santo António,15.6,0
2021-06-01,2021,6,São Domingos de Benfica,11.5,0
2021-06-01,2021,6,São Vicente,13.8,0
2021-07-01,2021,7,Alvalade,12.7,0
2021-07-01,2021,7,Areeiro,11.7,0
2021-07-01,2021,7,Arroios,13.8,0
2021-07-01,2021,7,Avenidas Novas,13.4,0
2021-07-01,2021,7,Belém,13.1,0
2021-07-01,2021,7,Benfica,11.6,0
2021-07-01,2021,7,Campo de Ourique,14.0,0
2021-07-01,2021,7,Campolide,12.9,0
2021-07-01,2021,7,Estrela,13.9,0
2021-07-01,2021,7,Lumiar,11.2,0
2021-07-01,2021,7,Misericórdia,15.5,0
2021-07-01,2021,7,Parque das Nações,12.8,0
2021-07-01,2021,7,Penha de França,12.0,0
2021-07-01,2021,7,Santa Maria Maior,16.2,0
2021-07-01,2021,7,Santo António,15.7,0
2021-07-01,2021,7,São Domingos de Benfica,11.6,0
2021-07-01,2021,7,São Vicente,13.8,0
2021-08-01,2021,8,Alvalade,12.8,0
2021-08-01,2021,8,Areeiro,11.7,0
2021-08-01,2021,8,Arroios,13.7,0
2021-08-01,2021,8,Avenidas Novas,13.6,0
2021-08-01,2021,8,Belém,13.1,0
2021-08-01,2021,8,Benfica,11.5,0
2021-08-01,2021,8,Campo de Ourique,13.8,0
2021-08-01,2021,8,Campolide,13.0,0
2021-08-01,2021,8,Estrela,14.0,0
2021-08-01,2021,8,Lumiar,11.4,0
2021-08-01,2021,8,Misericórdia,15.5,0
2021-08-01,2021,8,Parque das Nações,13.2,0
2021-08-01,2021,8,Penha de França,12.1,0
2021-08-01,2021,8,Santa Maria Maior,16.5,0
2021-08-01,2021,8,Santo António,16.6,0
2021-08-01,2021,8,São Domingos de Benfica,11.7,0
2021-08-01,2021,8,São Vicente,13.7,0
2021-09-01,2021,9,Alvalade,12.8,0
2021-09-01,2021,9,Areeiro,11.7,0
2021-09-01,2021,9,Arroios,13.4,0
2021-09-01,2021,9,Avenidas Novas,13.7,0
2021-09-01,2021,9,Belém,13.2,0
2021-09-01,2021,9,Benfica,11.7,0
2021-09-01,2021,9,Campo de Ourique,14.0,0
2021-09-01,2021,9,Campolide,13.2,0
2021-09-01,2021,9,Estrela,14.1,0
2021-09-01,2021,9,Lumiar,11.4,0
2021-09-01,2021,9,Misericórdia,15.8,0
2021-09-01,2021,9,Parque das Nações,13.4,0
2021-09-01,2021,9,Penha de França,12.1,0
2021-09-01,2021,9,Santa Maria Maior,16.4,0
2021-09-01,2021,9,Santo António,16.7,0
2021-09-01,2021,9,São Domingos de Benfica,11.7,0
2021-09-01,2021,9,São Vicente,13.7,0
2021-10-01,2021,10,Alvalade,12.7,0
2021-10-01,2021,10,Areeiro,11.6,0
2021-10-01,2021,10,Arroios,13.4,0
2021-10-01,2021,10,Avenidas Novas,13.6,0
2021-10-01,2021,10,Belém,13.3,0
2021-10-01,2021,10,Benfica,11.9,0
2021-10-01,2021,10,Campo de Ourique,14.2,0
2021-10-01,2021,10,Campolide,13.1,0
2021-10-01,2021,10,Estrela,14.6,0
2021-10-01,2021,10,Lumiar,11.5,0
2021-10-01,2021,10,Misericórdia,16.1,0
2021-10-01,2021,10,Parque das Nações,13.4,0
2021-10-01,2021,10,Penha de França,12.5,0
2021-10-01,2021,10,Santa Maria Maior,17.0,0
2021-10-01,2021,10,Santo António,17.3,0
2021-10-01,2021,10,São Domingos de Benfica,11.8,0
2021-10-01,2021,10,São Vicente,13.3,0
2021-11-01,2021,11,Alvalade,12.9,0
2021-11-01,2021,11,Areeiro,11.9,0
2021-11-01,2021,11,Arroios,13.1,0
2021-11-01,2021,11,Avenidas Novas,13.4,0
2021-11-01,2021,11,Belém,13.4,0
2021-11-01,2021,11,Benfica,12.0,0
